SITE_ID,Approach,Canopy_L1,dLevelsAminusB,tower_order,pair_span,n,prop_positive_FG,prop_cross_grad_flagged,median_FG,median_abs_FG
STEI,MBR,AA,6_4,A above B,2,697,0.6556671449067432,0,0.003035548828752729,0.006544555725486425
TEAK,AE,AA,6_4,A above B,2,591,0.6548223350253807,0,2.744298945528645e-4,5.124613400057237e-4
TOOL,AE,AA,3_1,A above B,2,156,0.6538461538461539,0,0.006631205069062081,0.014534576563951122
SOAP,MBR,AW,5_1,A above B,4,1228,0.6522801302931596,0,0.0070687437518386085,0.01773497653085304
DELA,AE,AW,4_2,A above B,2,1615,0.6520123839009287,0,2.663442924169527e-4,4.5817196990757234e-4
SJER,MBR,AW,5_3,A above B,2,1352,0.6516272189349113,0,0.006637623642284032,0.01811645203578037
TOOL,WP,AA,2_1,A above B,1,63,0.6507936507936508,0,0.007173520047130362,0.01134195064791068
LAJA,WP,AW,2_1,A above B,1,166,0.6506024096385542,0,0.03515782144863083,0.057172487265301504
NOGP,MBR,AA,4_2,A above B,2,2202,0.6503178928247049,0,0.0029753159389812023,0.0070863824597269965
CLBJ,MBR,AA,5_4,A above B,1,180,0.65,0,0.016949394633719736,0.03477774090054513
JERC,MBR,AA,5_4,A above B,1,80,0.65,0,0.006499949768025674,0.010821493219072685
TOOL,WP,AA,3_1,A above B,2,157,0.6496815286624203,0,0.004952873241384675,0.009795526721187038
DCFS,MBR,AA,4_3,A above B,1,388,0.6494845360824743,0,0.003617782142468268,0.0061303855679439535
DELA,WP,AW,4_2,A above B,2,1552,0.6481958762886598,0,0.019462187040516055,0.03440394154217841
SERC,MBR,AW,6_3,A above B,3,2643,0.6466136965569429,0,0.004124367959646506,0.011085996479649684
LAJA,AE,AW,2_1,A above B,1,181,0.6464088397790055,0,0.041068504252933485,0.06880020829466037
TOOL,WP,AA,4_1,A above B,3,96,0.6458333333333334,0,0.003319324941144851,0.005867976778880049
SOAP,MBR,AW,6_1,A above B,5,617,0.6450567260940032,0,0.004044669329557891,0.010775501667030918
SJER,MBR,AA,5_4,A above B,1,138,0.644927536231884,0,0.009959920761353297,0.026501873129009954
WREF,MBR,AA,8_6,A above B,2,121,0.6446280991735537,0,0.0044363473664759435,0.010541621538423772
SJER,MBR,AA,6_5,A above B,1,405,0.6444444444444445,0,0.004550926190823214,0.018410765833245746
TEAK,MBR,AA,4_3,A above B,1,45,0.6444444444444445,0,0.004020830664619753,0.00992622555762191
TREE,MBR,AW,5_4,A above B,1,87,0.6436781609195402,0,0.0062171554578139485,0.013590582207310574
LENO,MBR,AW,5_3,A above B,2,317,0.6435331230283912,0,0.008460067960065243,0.022423358308549284
BART,MBR,AW,6_3,A above B,3,538,0.6431226765799256,0,0.004092434794161173,0.007833586991171104
STER,MBR,AA,4_2,A above B,2,2804,0.6426533523537803,0,0.003676920950260891,0.007893178947232678
TEAK,WP,AA,5_4,A above B,1,95,0.6421052631578947,0,0.05419383317751024,0.1044804508170939
NOGP,MBR,AA,3_2,A above B,1,271,0.6420664206642066,0,0.0027619865897452515,0.007427612737934142
HARV,MBR,AW,5_3,A above B,2,229,0.6419213973799127,0,0.0045019555237491675,0.007783092290304305
TEAK,MBR,AA,6_3,A above B,3,346,0.6416184971098265,0,0.008518968033022562,0.01816314535635407
HARV,MBR,AW,6_3,A above B,3,973,0.6413155190133607,0,0.004377247796380607,0.009234593976789999
TOOL,MBR,AA,4_2,A above B,2,273,0.6410256410256411,0,0.001070370012953252,0.002552871120762832
RMNP,WP,AA,4_3,A above B,1,50,0.64,0,0.05455331985600413,0.09368162961172455
OAES,MBR,AA,3_2,A above B,1,186,0.6397849462365591,0,0.008560262543395683,0.020458686898410808
UKFS,MBR,AW,4_2,A above B,2,1013,0.6396841066140178,0,0.004069211479418305,0.01086196105640209
ORNL,MBR,AW,6_3,A above B,3,1231,0.6368805848903331,0,0.005845634690255328,0.013101965762789823
ORNL,MBR,AA,6_5,A above B,1,77,0.6363636363636364,0,0.00741055788449649,0.018358544024441936
OSBS,MBR,AA,6_5,A above B,1,162,0.6358024691358025,0,0.0075731901785291485,0.017656229108163682
YELL,MBR,AA,5_3,A above B,2,148,0.6351351351351351,0,0.0032488067507493845,0.006223888270750754
JERC,MBR,AA,6_5,A above B,1,150,0.6333333333333333,0,0.0037756641982990523,0.008481951384514061
STEI,MBR,AW,6_3,A above B,3,954,0.6320754716981132,0,0.0035943423789932265,0.007836515445524925
SJER,MBR,AA,6_4,A above B,2,1250,0.632,0,0.005903200852777655,0.019142391371671817
BONA,AE,AA,5_4,A above B,1,46,0.6304347826086957,0,0.0012262622743542625,0.0026783296167096227
SERC,MBR,AW,6_2,A above B,4,3620,0.6298342541436464,0,0.0018881219098895153,0.006235954014688505
SERC,MBR,AA,6_5,A above B,1,159,0.6289308176100629,0,0.0036993354444779638,0.011392685949280475
TEAK,AE,AA,5_4,A above B,1,97,0.6288659793814433,0,4.95943965583575e-4,0.001038608118747536
OAES,MBR,AA,2_1,A above B,1,404,0.6287128712871287,0,0.0075984197229641785,0.02159602178830356
ORNL,MBR,AW,5_3,A above B,2,641,0.6287051482059283,0,0.005037935724578807,0.012479621256559752
BONA,AE,AA,5_3,A above B,2,245,0.6285714285714286,0,0.0010544448612433196,0.0018866696382989338
KONZ,MBR,AA,3_1,A above B,2,5010,0.6279441117764472,0,0.0034619025130490175,0.007589937947785862
RMNP,MBR,AA,5_3,A above B,2,260,0.6269230769230769,0,0.005952414979227937,0.01114865304359863
UKFS,MBR,AW,6_2,A above B,4,2101,0.626844359828653,0,0.005532861160050233,0.012521799648859975
OAES,MBR,AA,4_2,A above B,2,2543,0.6264254817145104,0,0.007195316602289237,0.018484167052675107
LAJA,MBR,AW,4_1,A above B,3,270,0.6259259259259259,0,0.00812376090181269,0.02170836873524338
TREE,MBR,AA,6_5,A above B,1,232,0.625,0,0.0053428710002140865,0.01462204991526165
TOOL,WP,AA,4_3,A above B,1,16,0.625,0,0.022353342675520554,0.028567792078054516
LENO,MBR,AA,6_4,A above B,2,506,0.6245059288537549,0,0.006852668575502274,0.018612488183434674
UKFS,MBR,AW,5_2,A above B,3,1243,0.6242960579243765,0,0.004054159625770628,0.011987477123136716
KONZ,MBR,AA,2_1,A above B,1,286,0.6223776223776224,0,0.003561547486215207,0.006955070664305303
SJER,MBR,AW,6_3,A above B,3,1686,0.6221826809015422,0,0.0051854328348207405,0.016377058144792494
STEI,MBR,AA,5_4,A above B,1,238,0.6218487394957983,0,0.0023594965216898276,0.005321990972357171
TOOL,MBR,AA,4_1,A above B,3,148,0.6216216216216216,0,5.135409461631803e-4,0.0021433966781379847
