SITE_ID,Year,n_30min,n_observed,observed_coverage,n_training_obs,annual_budget_gC_m2_yr,model_only_annual_budget_gC_m2_yr,observed_partial_gC_m2,gapfilled_partial_gC_m2,source_state,log_abs_flux,ERA5_Tair_C_annual,ERA5_Tair_C_sd_annual,ERA5_VSWC_annual,ERA5_VSWC_sd_annual,MAP,MAT,acidity,carbonTot,nitrogenTot,sulfurTot,clayTotal,sandTotal,bulkDensOvenDry,LAI.mean,canopyHeight_m,EcoType,ERA5_Tair_C_annual_site_mean,ERA5_Tair_C_annual_within_site,ERA5_VSWC_annual_site_mean,ERA5_VSWC_annual_within_site
ORNL,2021,17520,304,0.017351598173516,1459,0.628383556387254,0.628107486671936,0.0140718589350869,0.614311697452168,1,-0.20177518745989625,15.71666381278548,8.934444856706671,0.4249180079908676,0.05690917577885877,1340.32,14.4,16.8493150684932,0.19041095890411,1.97808219178082,0.19041095890411,26.3294117647059,29.9205882352941,1.47533333333333,2.49908057331099,28,Forest,15.769262932526729,-0.05259911974124876,0.42494971418301014,-3.170619214254433e-5
ORNL,2022,17520,427,0.0243721461187215,1459,0.652171795888146,0.655931239579202,0.015312462551785,0.63685933333636,1,-0.18563798615055951,15.464880136986233,9.64706028081425,0.4262897260273973,0.0585880824770595,1340.32,14.4,16.8493150684932,0.19041095890411,1.97808219178082,0.19041095890411,26.3294117647059,29.9205882352941,1.47533333333333,2.49908057331099,28,Forest,15.769262932526729,-0.3043827955404961,0.42494971418301014,0.0013400118443871456
ORNL,2023,17520,431,0.0246004566210046,1459,0.61960340510058,0.612913863640822,0.0235390293134353,0.596064375787145,1,-0.20788620349091297,16.133972602739615,8.161320721355324,0.4242154965753424,0.05536111576757354,1340.32,14.4,16.8493150684932,0.19041095890411,1.97808219178082,0.19041095890411,26.3294117647059,29.9205882352941,1.47533333333333,2.49908057331099,28,Forest,15.769262932526729,0.3647096702128856,0.42494971418301014,-7.342176076677309e-4
ORNL,2024,17568,297,0.016905737704918,1459,0.618088789794296,0.621804916299074,0.00895641594005286,0.609132373854244,1,-0.20894913238346274,15.761535177595585,9.151026495860858,0.4243756261384333,0.06311035203078527,1340.32,14.4,16.8493150684932,0.19041095890411,1.97808219178082,0.19041095890411,26.3294117647059,29.9205882352941,1.47533333333333,2.49908057331099,28,Forest,15.769262932526729,-0.007727754931144304,0.42494971418301014,-5.740880445768148e-4
RMNP,2023,17520,24,0.00136986301369863,42,0.222552966482741,0.21991327187946,0.00284410100607847,0.219708865476663,1,-0.652566610535413,2.6085045662101902,9.925833312689143,0.29614158105022825,0.07198995070787743,730.59,2.9,18.3981818181818,0.12,2.43272727272727,0.12,8.62553191489362,68.0787234042553,1.52166666666667,0.47768733293369,11,Forest,3.053701565891971,-0.4451969996817806,0.2892386525469721,0.006902928503256134
RMNP,2024,17568,18,0.00102459016393443,42,0.218457663138494,0.218763975341489,-2.17387982303201e-4,0.218675051120797,1,-0.6606327143571633,3.498898565573752,9.893521927249322,0.28233572404371604,0.06142530485462605,730.59,2.9,18.3981818181818,0.12,2.43272727272727,0.12,8.62553191489362,68.0787234042553,1.52166666666667,0.47768733293369,11,Forest,3.053701565891971,0.44519699968178106,0.2892386525469721,-0.006902928503256078
SCBI,2021,17520,339,0.0193493150684932,2173,0.457610182823827,0.455056692086393,0.00923358203725201,0.448376600786576,1,-0.33950431915978896,13.456232876712427,9.994593547846064,0.3539286529680367,0.0639289476214137,1125.5,11.6,17.7473684210526,0.175862068965517,2.09080459770115,0.175862068965517,33.0440476190476,17.7071428571429,1.45808823529412,2.4994257118127,30,Forest,13.311605485612043,0.14462739110038392,0.3520184500695537,0.0019102028984830377
SCBI,2022,17520,907,0.0517694063926941,2173,0.456941330585767,0.457707030502043,0.0246848481512403,0.432256482434527,1,-0.34013955705091414,12.546035958904094,10.345516455225775,0.37288176369863024,0.045934957082591044,1125.5,11.6,17.7473684210526,0.175862068965517,2.09080459770115,0.175862068965517,33.0440476190476,17.7071428571429,1.45808823529412,2.4994257118127,30,Forest,13.311605485612043,-0.7655695267079494,0.3520184500695537,0.020863313629076563
SCBI,2023,17520,707,0.0403538812785388,2173,0.397307427245709,0.396435554096034,0.0193761619448358,0.377931265300873,1,-0.4008733150957481,13.786078767123202,9.197211640411396,0.3248984018264839,0.07372474666065787,1125.5,11.6,17.7473684210526,0.175862068965517,2.09080459770115,0.175862068965517,33.0440476190476,17.7071428571429,1.45808823529412,2.4994257118127,30,Forest,13.311605485612043,0.474473281511159,0.3520184500695537,-0.027120048243069794
SCBI,2024,17568,220,0.0125227686703097,2173,0.444286976874886,0.447372815026131,0.00352983162765961,0.440757145247226,1,-0.35233641581598196,13.458074339708448,9.845855715680736,0.3563649817850639,0.07023605152432465,1125.5,11.6,17.7473684210526,0.175862068965517,2.09080459770115,0.175862068965517,33.0440476190476,17.7071428571429,1.45808823529412,2.4994257118127,30,Forest,13.311605485612043,0.14646885409640475,0.3520184500695537,0.0043465317155101935
