scale,response,driver,driver_value,fit,lwr,upr
30 min,source_probability,VSWCMean_within_site,0.04519661317394008,0.5526388563776815,0.4838634973464633,0.61945732656087
30 min,source_probability,VSWCMean_within_site,0.05171337027211703,0.5500140800364377,0.48121528062202534,0.6169516481905892
30 min,source_probability,VSWCMean_within_site,0.054861311966848764,0.5482487067368949,0.479432457981337,0.6152680315492038
30 min,source_probability,VSWCMean_within_site,0.05906618120672283,0.5454379379297589,0.47659299353044104,0.6125884224688052
30 min,source_probability,VSWCMean_within_site,0.06055472893884706,0.5443296530204398,0.47547326586853317,0.6115320216121612
30 min,source_probability,VSWCMean_within_site,0.06403221780836327,0.5415351684159554,0.4726498926439844,0.6088685220592479
30 min,source_probability,VSWCMean_within_site,0.06596192619051071,0.5398729166129282,0.4709705294913372,0.6072842078336508
30 min,source_probability,VSWCMean_within_site,0.07431611912293633,0.5319792788157773,0.46299756797367436,0.5997598920058104
30 min,source_probability,VSWCMean_within_site,0.07820945941599111,0.5280450743169037,0.4590253922394046,0.5960089933876922
30 min,source_probability,VSWCMean_within_site,0.08847094486997842,0.5175356442385748,0.4484190859283462,0.585987672464673
30 min,magnitude_log_abs,VSWCMean_within_site,-0.09291128717676289,-2.9665962086667212,-3.223853849979659,-2.7093385673537833
30 min,magnitude_log_abs,VSWCMean_within_site,-0.08307838296009568,-2.9508227248008687,-3.208014424653075,-2.6936310249486626
30 min,magnitude_log_abs,VSWCMean_within_site,-0.078185643052151907,-2.9423349965474257,-3.1995058719357536,-2.6851641211590977
30 min,magnitude_log_abs,VSWCMean_within_site,-0.07289990172329192,-2.932738900614104,-3.18989356296615,-2.675584238262058
30 min,magnitude_log_abs,VSWCMean_within_site,-0.06878698004059652,-2.9249964926726935,-3.182141680929035,-2.667851304416352
30 min,magnitude_log_abs,VSWCMean_within_site,-0.06541639098039523,-2.918491672464259,-3.1756303833393567,-2.661352961589161
30 min,magnitude_log_abs,VSWCMean_within_site,-0.062367833379282867,-2.912498043198245,-3.169631445467427,-2.6553646409290628
30 min,magnitude_log_abs,VSWCMean_within_site,-0.05846712484157146,-2.9046959959548246,-3.161822833986845,-2.6475691579228045
30 min,magnitude_log_abs,VSWCMean_within_site,-0.05288549136853083,-2.893321218569659,-3.150438089429039,-2.636204347710279
30 min,magnitude_log_abs,VSWCMean_within_site,-0.0490868914218895,-2.885474642588861,-3.14258381815188,-2.628365467025842
30 min,magnitude_log_abs,VSWCMean_within_site,-0.04794547876167078,-2.883104852778262,-3.1402115291385435,-2.6259981764179807
30 min,magnitude_log_abs,VSWCMean_within_site,-0.04473086285739081,-2.8764098592588803,-3.1335089920392813,-2.619310726478479
30 min,magnitude_log_abs,VSWCMean_within_site,-0.042822956414978935,-2.8724266228338156,-3.12952092006448,-2.615332325603151
30 min,magnitude_log_abs,VSWCMean_within_site,-0.0371172858185274,-2.8605086335782572,-3.1175869655429436,-2.603430301613571
30 min,magnitude_log_abs,VSWCMean_within_site,-0.03233254063148798,-2.850555793518366,-3.1076193070505287,-2.5934922799862035
30 min,magnitude_log_abs,VSWCMean_within_site,-0.029335883782836303,-2.844365559166037,-3.1014193558780416,-2.587311762454032
30 min,magnitude_log_abs,VSWCMean_within_site,-0.02608643334743578,-2.837707076469837,-3.0947501563519806,-2.5806639965876936
30 min,magnitude_log_abs,VSWCMean_within_site,-0.02464400272310012,-2.834773048127252,-3.091811359413087,-2.577734736841417
30 min,magnitude_log_abs,VSWCMean_within_site,-0.02304026411070282,-2.8315286559854527,-3.0885616860147453,-2.57449562595616
30 min,magnitude_log_abs,VSWCMean_within_site,-0.021360911025392462,-2.828153056724551,-3.085180603598629,-2.5711255098504733
30 min,magnitude_log_abs,VSWCMean_within_site,-0.020112625063605033,-2.8256594234701176,-3.082682940486983,-2.568635906453252
30 min,magnitude_log_abs,VSWCMean_within_site,-0.016984186831039083,-2.8194731367658026,-3.0764867943580017,-2.5624594791736035
30 min,magnitude_log_abs,VSWCMean_within_site,-0.015457129863768487,-2.8164888205755587,-3.0734978217997178,-2.5594798193513997
30 min,magnitude_log_abs,VSWCMean_within_site,-0.013082939606774063,-2.8118987225821446,-3.068900730563282,-2.554896714601007
30 min,magnitude_log_abs,VSWCMean_within_site,-0.009425547691036165,-2.804955189595448,-3.0619470967473776,-2.547963282443518
30 min,magnitude_log_abs,VSWCMean_within_site,-0.005195287468818019,-2.797133565304632,-3.0541149228478783,-2.540152207761386
30 min,magnitude_log_abs,VSWCMean_within_site,-0.0034527018657422304,-2.7939813662561557,-3.0509587476140316,-2.5370039848982797
30 min,magnitude_log_abs,VSWCMean_within_site,-0.0019523705208566028,-2.7913014587546114,-3.0482755892853453,-2.5343273282238776
30 min,magnitude_log_abs,VSWCMean_within_site,7.069242159496447e-5,-2.787739109450555,-3.044709104313857,-2.530769114587253
30 min,magnitude_log_abs,VSWCMean_within_site,0.00206680716556297,-2.7842833708464174,-3.0412495540928215,-2.5273171876000133
30 min,magnitude_log_abs,VSWCMean_within_site,0.0045352677327224755,-2.7800932664896982,-3.037055083538812,-2.5231314494405845
30 min,magnitude_log_abs,VSWCMean_within_site,0.0059429415034965155,-2.777745918184282,-3.0347054052111884,-2.5207864311573753
30 min,magnitude_log_abs,VSWCMean_within_site,0.009401891766311413,-2.7721106582898183,-3.0290648592405773,-2.5151564573390592
30 min,magnitude_log_abs,VSWCMean_within_site,0.01101621463019481,-2.769546149602014,-3.0264980723359267,-2.512594226868101
30 min,magnitude_log_abs,VSWCMean_within_site,0.012444321428730393,-2.7673126420763796,-3.024262636128985,-2.5103626480237744
30 min,magnitude_log_abs,VSWCMean_within_site,0.014286563175673755,-2.764480555441245,-3.0214281681795856,-2.507532942702904
30 min,magnitude_log_abs,VSWCMean_within_site,0.016287466611702536,-2.7614675834504125,-3.018412728385928,-2.504522438514897
30 min,magnitude_log_abs,VSWCMean_within_site,0.018476377491679963,-2.758246966853537,-3.0151895323450777,-2.5013044013619963
30 min,magnitude_log_abs,VSWCMean_within_site,0.019420602715566296,-2.7568820738862714,-3.013823560565156,-2.4999405872073868
30 min,magnitude_log_abs,VSWCMean_within_site,0.021451565349572793,-2.7539960551419562,-3.010935282852247,-2.4970568274316656
30 min,magnitude_log_abs,VSWCMean_within_site,0.02436481940023061,-2.7499746063423784,-3.0069107279976963,-2.4930384846870606
30 min,magnitude_log_abs,VSWCMean_within_site,0.025632633086864365,-2.7482678417657125,-3.005202659684063,-2.491333023847362
30 min,magnitude_log_abs,VSWCMean_within_site,0.027195397210530173,-2.7461999138929833,-3.00313316675241,-2.4892666610335565
30 min,magnitude_log_abs,VSWCMean_within_site,0.028517063352755778,-2.7444817688528196,-3.0014137373352154,-2.4875498003704237
30 min,magnitude_log_abs,VSWCMean_within_site,0.029963110291220174,-2.7426339639310044,-2.999564573335237,-2.485703354526772
30 min,magnitude_log_abs,VSWCMean_within_site,0.03276325891134131,-2.7391498900996694,-2.996078032129477,-2.4822217480698616
30 min,magnitude_log_abs,VSWCMean_within_site,0.035579149469102705,-2.7357691043703665,-2.992695045772482,-2.478843162968251
